"sample_size","rho","method","mean_TP","mean_FP","mean_FN","mean_TN","mean_model_size","mcse_model_size","mean_true_positive_rate","mcse_true_positive_rate","mean_false_positive_rate","mcse_false_positive_rate","mean_true_negative_rate","mcse_true_negative_rate","mean_false_negative_rate","mcse_false_negative_rate","exact_model_recovery","mcse_exact_model_recovery"
500,0.35,"Backward BIC",4.7549,0.2242,0.2451,14.7758,4.9791,0.00620404448862205,0.95098,0.000860335967978661,0.0149466666666667,0.000321771247776758,0.985053333333333,0.000321771247776758,0.04902,0.000860335967978661,0.6208,0.00485187963577004
500,0.35,"Backward p-value",4.9768,4.6418,0.0232,10.3582,9.6186,0.0183533944737444,0.99536,0.000301091523644491,0.309453333333333,0.001219549534822,0.690546666666667,0.001219549534822,0.00464,0.000301091523644491,0.0046,0.000676671264352196
500,0.35,"Elastic net: lambda.1se",4.9879,3.5933,0.0121,11.4067,8.5812,0.0176893173185038,0.99758,0.000218675883247768,0.239553333333333,0.00117919143122114,0.760446666666667,0.00117919143122114,0.00242,0.000218675883247768,0.0238,0.00152425588402997
500,0.35,"Elastic net: lambda.min",4.9958,6.427,0.0042,8.573,11.4228,0.0272425812254122,0.99916,0.000129348804058295,0.428466666666667,0.00181585766712043,0.571533333333333,0.00181585766712043,0.00084,0.000129348804058295,0.0019,0.000435475602072033
500,0.35,"LASSO: lambda.1se",4.946,1.4457,0.054,13.5543,6.3917,0.0133568316413418,0.9892,0.000452058000309213,0.09638,0.00087483934077349,0.90362,0.00087483934077349,0.0108,0.000452058000309213,0.2603,0.0043879825660547
500,0.35,"LASSO: lambda.min",4.9921,5.3347,0.0079,9.6653,10.3268,0.0274334729034359,0.99842,0.000177069182382296,0.355646666666667,0.00182732679224432,0.644353333333333,0.00182732679224432,0.00158,0.000177069182382296,0.0076,0.0008684607072286
500,0.7,"Backward AIC",4.7612,2.5678,0.2388,12.4322,7.329,0.0153577174719616,0.95224,0.000854149399765469,0.171186666666667,0.000991525057101712,0.828813333333333,0.000991525057101712,0.04776,0.00085414939976547,0.0547,0.00227393733422889
500,0.7,"Backward BIC",4.3729,0.2608,0.6271,14.7392,4.6337,0.00684522583350405,0.87458,0.000990898858640379,0.0173866666666667,0.00034332354742565,0.982613333333333,0.00034332354742565,0.12542,0.000990898858640379,0.3072,0.00461333025048067
500,0.7,"Backward p-value",4.8526,4.6125,0.1474,10.3875,9.4651,0.018057984607392,0.97052,0.000709043887445222,0.3075,0.00118735204104588,0.6925,0.00118735204104588,0.02948,0.000709043887445222,0.0051,0.000712319450808414
500,0.7,"Elastic net: lambda.1se",4.9695,6.5309,0.0305,8.4691,11.5004,0.0184844299726862,0.9939,0.000343934338330601,0.435393333333333,0.00123363736950908,0.564606666666667,0.00123363736950908,0.0061,0.000343934338330601,0,0
