"n","rho","method","variable","selection_rate","true_positive_rate","type_II_error","false_positive_rate","type_I_error","mean_beta_hat_uncond","bias_uncond","mean_beta_hat_selected","bias_selected","coverage_selected","coverage_uncond"
250,0,"Backward p-value","X1",0.9332,0.9332,0.0668,NA,NA,0.165235958916323,-0.00143070775034338,0.177063822242095,0.0103971555754286,0.965387912558937,0.9009
250,0,"Backward p-value","X10",0.3113,NA,NA,0.3113,0.0574,0.000236678862551751,0.000236678862551751,0.000760291880988598,0.000760291880988598,0.815611949887568,0.2539
250,0,"Backward p-value","X11",0.3034,NA,NA,0.3034,0.0544,-0.000332279791296359,-0.000332279791296359,-0.00109518718291483,-0.00109518718291483,0.820698747528016,0.249
250,0,"Backward p-value","X12",0.313,NA,NA,0.313,0.0563,-0.00059174934496833,-0.00059174934496833,-0.00189057298711926,-0.00189057298711926,0.820127795527157,0.2567
250,0,"Backward p-value","X13",0.3049,NA,NA,0.3049,0.0511,0.000369355033340185,0.000369355033340185,0.00121139728875102,0.00121139728875102,0.832404066907183,0.2538
250,0,"Backward p-value","X14",0.3097,NA,NA,0.3097,0.0549,-0.000159912735151755,-0.000159912735151755,-0.000516347223609155,-0.000516347223609155,0.822731675815305,0.2548
250,0,"Backward p-value","X15",0.3066,NA,NA,0.3066,0.0601,0.000690299508007888,0.000690299508007888,0.00225146610570087,0.00225146610570087,0.803979125896934,0.2465
250,0,"Backward p-value","X16",0.3129,NA,NA,0.3129,0.0606,-0.000696531625971439,-0.000696531625971439,-0.00222605185673199,-0.00222605185673199,0.806327900287632,0.2523
250,0,"Backward p-value","X17",0.3125,NA,NA,0.3125,0.0579,-0.000222588475172536,-0.000222588475172536,-0.000712283120552115,-0.000712283120552115,0.81472,0.2546
250,0,"Backward p-value","X18",0.3065,NA,NA,0.3065,0.0585,0.00134083673087523,0.00134083673087523,0.0043746712263466,0.0043746712263466,0.809135399673736,0.248
250,0,"Backward p-value","X19",0.3086,NA,NA,0.3086,0.0579,0.000736656287129466,0.000736656287129466,0.00238709101467747,0.00238709101467747,0.812378483473752,0.2507
250,0,"Backward p-value","X2",1,1,0,NA,NA,0.332738788643203,-0.000594544690129961,0.332738788643203,-0.000594544690129961,0.9364,0.9364
250,0,"Backward p-value","X20",0.3104,NA,NA,0.3104,0.0563,0.000226360631201894,0.000226360631201894,0.000729254610830845,0.000729254610830845,0.818621134020619,0.2541
250,0,"Backward p-value","X3",1,1,0,NA,NA,0.49931709315313,-0.000682906846869995,0.49931709315313,-0.000682906846869995,0.9388,0.9388
250,0,"Backward p-value","X4",1,1,0,NA,NA,0.667937916662316,0.00127124999564937,0.667937916662316,0.00127124999564937,0.941,0.941
